Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
Snapdragon,Samsung,8,128,4500,AMOLED,1,11,32499
MediaTek,Samsung,3,64,5000,LCD,1,12,7499
Samsung,Samsung,8,512,4000,AMOLED,1,14,82999
MediaTek,vivo,12,256,4830,AMOLED,1,12,37499
Snapdragon,vivo,6,128,5000,AMOLED,1,12,14300
Snapdragon,vivo,8,128,4500,AMOLED,1,13,17999
MediaTek,Samsung,8,128,5000,LCD,1,11,20999
Samsung,Samsung,4,128,5000,LCD,1,13,13999
Samsung,Samsung,4,128,5000,LCD,1,12,10150
MediaTek,Samsung,3,32,5000,LCD,1,9,7999
MediaTek,Infinix,8,128,5000,AMOLED,1,12,14999
MediaTek,Infinix,4,64,5000,AMOLED,1,11,12499
MediaTek,Infinix,4,64,5000,LCD,1,11,9999
MediaTek,Samsung,6,128,5000,LCD,1,12,13999
MediaTek,Samsung,4,128,5000,LCD,1,12,9999
MediaTek,Infinix,6,128,5000,AMOLED,1,11,12999
MediaTek,Infinix,4,128,5000,LCD,1,11,11999
MediaTek,Infinix,4,64,5000,LCD,1,11,10999
Samsung,Samsung,4,128,5000,LCD,1,13,13999
MediaTek,Samsung,4,128,5000,LCD,1,10,12649
MediaTek,Samsung,4,128,5000,LCD,1,14,10999
MediaTek,Samsung,4,128,5000,LCD,1,12,8949
MediaTek,Samsung,4,128,5000,LCD,1,12,9999
MediaTek,Samsung,4,64,5000,LCD,1,11,14000
MediaTek,vivo,8,128,5500,AMOLED,1,14,27990
MediaTek,Infinix,8,256,5000,AMOLED,1,14,24999
Snapdragon,Samsung,8,128,4500,AMOLED,1,11,26899
MediaTek,vivo,8,128,4600,AMOLED,1,13,19999
MediaTek,Samsung,6,128,5000,AMOLED,1,13,20799
Samsung,Samsung,12,128,5000,AMOLED,1,10,99990
Samsung,Samsung,12,256,4500,AMOLED,1,10,99900
Samsung,Samsung,12,256,5000,AMOLED,1,11,128999
Samsung,Samsung,8,128,3400,AMOLED,1,9,49999
Snapdragon,vivo,16,512,5700,AMOLED,1,14,159999
Snapdragon,vivo,4,64,5000,LCD,1,10,16990
Samsung,Samsung,6,128,5000,AMOLED,1,12,16999
Samsung,Samsung,8,128,7000,AMOLED,1,11,13999
MediaTek,vivo,8,128,4600,AMOLED,1,13,30899
MediaTek,vivo,8,128,4200,AMOLED,1,12,29900
Samsung,Samsung,6,64,5000,AMOLED,1,10,14925
MediaTek,Infinix,8,256,5000,AMOLED,1,13,20999
Snapdragon,Samsung,6,128,7000,AMOLED,1,10,21649
Samsung,Samsung,6,128,7000,AMOLED,1,11,23999
MediaTek,vivo,8,128,4450,AMOLED,1,11,41230
Snapdragon,vivo,8,128,4000,AMOLED,1,11,27990
Samsung,Samsung,6,128,4000,AMOLED,1,10,25999
MediaTek,Samsung,6,128,5000,AMOLED,1,12,17934
Snapdragon,vivo,4,128,5000,LCD,1,12,15990
Samsung,Samsung,8,128,4800,AMOLED,1,11,63999
Snapdragon,vivo,8,128,5000,AMOLED,1,12,7500
Snapdragon,vivo,8,128,4300,AMOLED,1,11,34990
Samsung,Samsung,4,64,5000,AMOLED,1,9,15899
MediaTek,vivo,4,64,5000,LCD,1,11,10399
Snapdragon,Samsung,8,128,4500,AMOLED,1,11,26439
Snapdragon,Samsung,6,128,4500,AMOLED,1,11,22330
Samsung,Samsung,6,128,6000,LCD,1,12,14990
Samsung,Samsung,8,128,4500,AMOLED,1,10,83000
Snapdragon,Samsung,8,128,4500,AMOLED,1,10,39999
Samsung,Samsung,8,128,4500,AMOLED,1,10,25493
MediaTek,Infinix,12,512,5000,AMOLED,1,14,28999
MediaTek,vivo,4,128,5000,AMOLED,1,9,19990
Samsung,Samsung,4,64,5000,AMOLED,1,10,12999
Snapdragon,Samsung,6,128,5000,LCD,1,12,13765
Samsung,Samsung,8,128,4000,AMOLED,1,16,89999
Snapdragon,Samsung,8,128,4500,AMOLED,1,10,29499
MediaTek,vivo,8,128,4050,AMOLED,1,12,21777
Snapdragon,vivo,12,256,4200,AMOLED,1,11,54990
Samsung,Samsung,6,128,6000,AMOLED,1,10,9499
MediaTek,Infinix,8,256,4500,AMOLED,1,12,36999
Samsung,Samsung,4,64,5000,AMOLED,1,8,62500
Snapdragon,vivo,8,128,5000,AMOLED,1,9,20990
Samsung,Samsung,8,256,4300,AMOLED,1,10,86000
Snapdragon,Samsung,8,128,5000,AMOLED,1,11,34999
Samsung,Samsung,4,64,5000,LCD,1,10,13990
Snapdragon,vivo,8,128,5000,AMOLED,1,10,30990
Samsung,Samsung,6,64,5000,AMOLED,1,8,70000
MediaTek,vivo,8,128,4000,AMOLED,1,11,20831
Snapdragon,vivo,12,256,4500,AMOLED,1,11,53980
MediaTek,vivo,3,32,5000,LCD,1,12,9850
Snapdragon,Samsung,16,1,4400,AMOLED,1,16,216999
Samsung,Samsung,4,64,5000,AMOLED,1,9,18900
Snapdragon,vivo,8,128,4000,AMOLED,1,10,27980
Snapdragon,vivo,4,64,5000,LCD,1,9,15990
Snapdragon,vivo,8,128,5000,AMOLED,1,9,27990
MediaTek,vivo,8,128,5000,AMOLED,1,11,17490
Snapdragon,vivo,8,256,4315,AMOLED,1,10,54990
MediaTek,Samsung,6,128,5000,AMOLED,1,10,16380
Samsung,Samsung,4,128,5000,AMOLED,1,9,21070
MediaTek,vivo,4,64,5000,LCD,1,9,14500
MediaTek,Infinix,8,256,5000,LCD,1,12,19999
Samsung,Samsung,2,16,5000,AMOLED,1,5,8999
MediaTek,vivo,4,32,5000,LCD,1,9,14990
Snapdragon,vivo,8,128,5000,LCD,1,10,19990
Samsung,Samsung,6,64,6000,AMOLED,1,10,12999
Snapdragon,vivo,6,128,5000,AMOLED,1,9,32990
